id,description,discipline,wbs,planned_start,planned_finish,predecessors,actual_start,actual_finish
PIP-2208,"Erect Line 8""-XX-170",Piping,U3/PR-3/Piping,2026-08-28,2026-08-30,,2026-08-28,2026-08-30
PIP-2209,"Weld Line 8""-XX-170",Piping,U3/PR-3/Piping,2026-08-31,2026-09-08,PIP-2208,2026-08-31,
PIP-2210,"Hydrotest Line 8""-XX-170",Piping,U3/PR-3/Piping,2026-09-09,2026-09-10,PIP-2209,,
PIP-1830,"Erect Line 6""-XX-101",Piping,U3/PR-3/Piping,2026-09-01,2026-09-03,,2026-09-01,2026-09-03
PIP-1831,"Weld Line 6""-XX-101",Piping,U3/PR-3/Piping,2026-09-04,2026-09-09,PIP-1830,2026-09-04,
PIP-1832,"Hydrotest Line 6""-XX-101",Piping,U3/PR-3/Piping,2026-09-10,2026-09-11,PIP-1831,,
PIP-1836,"Erect Line 6""-XX-104",Piping,U3/PR-3/Piping,2026-09-07,2026-09-09,,,
PIP-1837,"Weld Line 6""-XX-104",Piping,U3/PR-3/Piping,2026-09-10,2026-09-16,PIP-1836,,
PIP-1838,"Hydrotest Line 6""-XX-104",Piping,U3/PR-3/Piping,2026-09-17,2026-09-18,PIP-1837,,
PIP-1842,"Erect Line 24""-XX-107",Piping,U3/PR-3/Piping,2026-09-10,2026-09-12,,,
PIP-1843,"Weld Line 24""-XX-107",Piping,U3/PR-3/Piping,2026-09-13,2026-09-19,PIP-1842,,
PIP-1844,"Hydrotest Line 24""-XX-107",Piping,U3/PR-3/Piping,2026-09-20,2026-09-21,PIP-1843,,
PIP-1861,"Erect Line 10""-XX-112",Piping,U3/PR-3/Piping,2026-09-08,2026-09-10,,,
PIP-1862,"Weld Line 10""-XX-112",Piping,U3/PR-3/Piping,2026-09-11,2026-09-17,PIP-1861,,
PIP-1863,"Hydrotest Line 10""-XX-112",Piping,U3/PR-3/Piping,2026-09-18,2026-09-19,PIP-1862,,
CIV-0410,Excavate foundations PR-3 grid 9-10,Civil,U3/PR-3/Civil,2026-09-07,2026-09-09,,,
CIV-0411,Pour concrete foundations PR-3 grid 9-10,Civil,U3/PR-3/Civil,2026-09-10,2026-09-12,CIV-0410,,
CIV-0412,Backfill foundations PR-3 grid 9-10,Civil,U3/PR-3/Civil,2026-09-13,2026-09-14,CIV-0411,,
PIP-2213,"Erect Line 8""-XX-171 on PR-3 extension",Piping,U3/PR-3/Piping,2026-09-15,2026-09-17,CIV-0412,,
PIP-2214,"Weld Line 8""-XX-171",Piping,U3/PR-3/Piping,2026-09-18,2026-09-20,PIP-2213,,
PIP-2215,"Hydrotest Line 8""-XX-171",Piping,U3/PR-3/Piping,2026-09-21,2026-09-22,PIP-2214,,
EQP-0501,Set Exchanger E-201,Mechanical,U3/PR-3/Equipment,2026-09-08,2026-09-09,,,
EQP-0502,Grout Exchanger E-201,Mechanical,U3/PR-3/Equipment,2026-09-10,2026-09-11,EQP-0501,,
EQP-0510,Set Pump P-301A,Mechanical,U3/PR-3/Equipment,2026-09-14,2026-09-15,,,
EQP-0511,Align Pump P-301A,Mechanical,U3/PR-3/Equipment,2026-09-16,2026-09-17,EQP-0510,,
ELE-0701,Lay cable C-4401 to Pump P-301A,Electrical,U3/PR-3/Electrical,2026-09-16,2026-09-18,EQP-0510,,
ELE-0702,Terminate cable C-4401,Electrical,U3/PR-3/Electrical,2026-09-19,2026-09-20,ELE-0701,,
ELE-0703,Megger test cable C-4401,Electrical,U3/PR-3/Electrical,2026-09-21,2026-09-21,ELE-0702,,
QA-1845,"QA acceptance test pack TP-07 (XX-104, XX-107, XX-112)",QA,U3/PR-3/QA,2026-09-22,2026-09-23,PIP-1838 PIP-1844 PIP-1863,,
M-U3-MC,Mechanical completion Unit-3 PR-3,Milestone,U3/PR-3,2026-09-24,2026-09-24,PIP-2210 PIP-1832 QA-1845 PIP-2215 EQP-0502 EQP-0511 ELE-0703,,
